藏文,漢字,校正釋義,相似度,備註
ཕྲུག,雛,child,6,
ཡུལ,域,area,7,
མིང,名,name,8,
དམངས,氓,民，people,6,符合文言
ཡིད,意,mentality,7,
སེམས,心,mind,5,
ཨ་མ,媽,mother,8,人類同源詞
ཨ་ཕ,爸,Papa,5,人類同源詞
ཨ་ཀུ,叔,uncle,6,和英語發音也一樣
གྲོགས,儔,友，friend,5,
གདན,墊,cushion,5,
མཇལ,見,見面，meet,5,
ཁུང,孔,洞，hole,6,
ཉེས,孽,sin,7,
བཙུན,尊,尊者，discipline,6,
རྗེ,傑,lord,7,
བཞེང,興,興修、起立，build/get up,7,符合文言
མེད,沒,not exist,7,
ཡོད,有,exist,6,
བོག,仆,摔倒，dislocated,5,符合文言
བོར,拋,throw,5,
ཇ,茶,tea,7,
ངུ,哭,cry,5,
ཤི,死,die,5,
བསད,殺,kill,4,
སུ,孰,誰，who,6,符合文言
བོད,蕃,Tibet,5,符合文言
པིར,筆,pen,6,
དུག,荼,毒，poison,6,符合文言
དང,同,and,4,
མིག,目,眼，eye,5,
བསྐམ,幹,dry,7,
གྱང,墻,wall,6,
ཁྲོམ,廛,集市，market,3,符合文言
རྗེས,跡,trace/after,6,符合文言
འགྲེལ,解,解釋，explain,5,
རོལ,樂,enjoy,6,
རོལ་ཆ,樂器,musical instrument,6,
འཇིགས,悸,害怕，fear,7,
ཞུ,消,消融，melt,5,
འཛུགས,築,建築，establish,6,
རྩིག,砌,砌墻，wall(v.),6,
རྩིས,計,計算，calculation,7,
རྩི,汁,essences,7,
རྩེ,尖,peak,5,
འགས,開,開裂，crack,5,
བཀྲེས,飢,hunger,6,
ནུས,能,能力，ability,5,
གཟིགས,視,see,6,敬語，和英語發音也一樣
རེ་བ,希望,hope,4,
ཀོ,革,皮革,,一般全稱མཉེད་ཀོ
